date,Keywords,RelativePopularity
2004-01-01,Infobae,8
2004-02-01,Infobae,8
2004-03-01,Infobae,8
2004-04-01,Infobae,9
2004-05-01,Infobae,11
2004-06-01,Infobae,12
2004-07-01,Infobae,13
2004-08-01,Infobae,14
2004-09-01,Infobae,13
2004-10-01,Infobae,14
2004-11-01,Infobae,15
2004-12-01,Infobae,17
2005-01-01,Infobae,18
2005-02-01,Infobae,19
2005-03-01,Infobae,17
2005-04-01,Infobae,21
2005-05-01,Infobae,17
2005-06-01,Infobae,21
2005-07-01,Infobae,21
2005-08-01,Infobae,20
2005-09-01,Infobae,22
2005-10-01,Infobae,22
2005-11-01,Infobae,26
2005-12-01,Infobae,26
2006-01-01,Infobae,25
2006-02-01,Infobae,26
2006-03-01,Infobae,28
2006-04-01,Infobae,27
2006-05-01,Infobae,29
2006-06-01,Infobae,31
2006-07-01,Infobae,30
2006-08-01,Infobae,30
2006-09-01,Infobae,33
2006-10-01,Infobae,32
2006-11-01,Infobae,32
2006-12-01,Infobae,34
2007-01-01,Infobae,36
2007-02-01,Infobae,36
2007-03-01,Infobae,37
2007-04-01,Infobae,39
2007-05-01,Infobae,41
2007-06-01,Infobae,42
2007-07-01,Infobae,44
2007-08-01,Infobae,41
2007-09-01,Infobae,42
2007-10-01,Infobae,44
2007-11-01,Infobae,46
2007-12-01,Infobae,46
2008-01-01,Infobae,49
2008-02-01,Infobae,46
2008-03-01,Infobae,50
2008-04-01,Infobae,46
2008-05-01,Infobae,48
2008-06-01,Infobae,54
2008-07-01,Infobae,53
2008-08-01,Infobae,48
2008-09-01,Infobae,48
2008-10-01,Infobae,53
2008-11-01,Infobae,49
2008-12-01,Infobae,51
2009-01-01,Infobae,48
2009-02-01,Infobae,48
2009-03-01,Infobae,47
2009-04-01,Infobae,45
2009-05-01,Infobae,44
2009-06-01,Infobae,53
2009-07-01,Infobae,50
2009-08-01,Infobae,44
2009-09-01,Infobae,45
2009-10-01,Infobae,43
2009-11-01,Infobae,47
2009-12-01,Infobae,46
2010-01-01,Infobae,50
2010-02-01,Infobae,49
2010-03-01,Infobae,48
2010-04-01,Infobae,48
2010-05-01,Infobae,46
2010-06-01,Infobae,50
2010-07-01,Infobae,47
2010-08-01,Infobae,45
2010-09-01,Infobae,49
2010-10-01,Infobae,50
2010-11-01,Infobae,47
2010-12-01,Infobae,51
2011-01-01,Infobae,42
2011-02-01,Infobae,38
2011-03-01,Infobae,42
2011-04-01,Infobae,40
2011-05-01,Infobae,40
2011-06-01,Infobae,43
2011-07-01,Infobae,42
2011-08-01,Infobae,43
2011-09-01,Infobae,47
2011-10-01,Infobae,48
2011-11-01,Infobae,51
2011-12-01,Infobae,53
2012-01-01,Infobae,56
2012-02-01,Infobae,58
2012-03-01,Infobae,59
2012-04-01,Infobae,55
2012-05-01,Infobae,55
2012-06-01,Infobae,61
2012-07-01,Infobae,56
2012-08-01,Infobae,58
2012-09-01,Infobae,57
2012-10-01,Infobae,64
2012-11-01,Infobae,66
2012-12-01,Infobae,69
2013-01-01,Infobae,66
2013-02-01,Infobae,61
2013-03-01,Infobae,65
2013-04-01,Infobae,68
2013-05-01,Infobae,65
2013-06-01,Infobae,65
