date,El Destape,El Territorio,IP Noticias,La Nación,Ámbito,isPartial
2004-01-01,5,11,0,44,0,False
2004-02-01,0,20,0,66,0,False
2004-03-01,5,24,0,78,0,False
2004-04-01,0,13,0,70,4,False
2004-05-01,0,19,0,55,3,False
2004-06-01,0,20,0,78,0,False
2004-07-01,0,6,0,61,3,False
2004-08-01,0,7,0,61,6,False
2004-09-01,0,17,0,75,2,False
2004-10-01,0,19,0,73,2,False
2004-11-01,0,15,0,59,2,False
2004-12-01,2,25,2,64,2,False
2005-01-01,0,22,0,49,0,False
2005-02-01,2,27,0,64,2,False
2005-03-01,2,21,0,72,0,False
2005-04-01,0,24,0,77,3,False
2005-05-01,0,19,0,71,0,False
2005-06-01,0,20,0,72,0,False
2005-07-01,2,16,0,62,5,False
2005-08-01,0,13,0,64,1,False
2005-09-01,1,18,0,56,2,False
2005-10-01,0,18,0,62,2,False
2005-11-01,0,9,0,64,3,False
2005-12-01,2,14,0,49,3,False
2006-01-01,0,15,0,52,4,False
2006-02-01,0,20,0,71,1,False
2006-03-01,0,21,0,61,2,False
2006-04-01,0,16,0,64,2,False
2006-05-01,1,20,1,63,2,False
2006-06-01,0,20,1,68,1,False
2006-07-01,0,22,0,54,2,False
2006-08-01,0,14,1,60,1,False
2006-09-01,1,22,0,61,1,False
2006-10-01,0,28,0,55,2,False
2006-11-01,1,22,1,57,1,False
2006-12-01,1,14,0,61,1,False
2007-01-01,1,28,0,39,0,False
2007-02-01,0,22,0,51,2,False
2007-03-01,0,29,0,56,1,False
2007-04-01,0,28,0,61,1,False
2007-05-01,0,24,0,60,2,False
2007-06-01,0,24,0,59,1,False
2007-07-01,0,24,0,55,2,False
2007-08-01,1,27,0,46,1,False
2007-09-01,1,30,1,54,2,False
2007-10-01,0,24,0,52,1,False
2007-11-01,1,24,1,48,1,False
2007-12-01,0,18,0,46,1,False
2008-01-01,1,19,0,50,1,False
2008-02-01,0,21,0,44,1,False
2008-03-01,0,22,0,57,2,False
2008-04-01,1,24,0,54,2,False
2008-05-01,0,22,0,58,2,False
2008-06-01,1,19,0,63,2,False
2008-07-01,0,20,1,60,1,False
2008-08-01,0,22,0,51,1,False
2008-09-01,0,25,0,53,2,False
2008-10-01,0,23,0,52,4,False
2008-11-01,1,23,0,49,2,False
2008-12-01,1,20,0,49,2,False
2009-01-01,0,25,0,44,1,False
2009-02-01,1,23,0,46,1,False
2009-03-01,0,23,0,53,1,False
2009-04-01,0,26,0,37,1,False
2009-05-01,0,29,0,31,1,False
2009-06-01,0,24,0,37,1,False
2009-07-01,0,24,0,32,1,False
2009-08-01,0,21,0,30,1,False
2009-09-01,0,20,0,30,2,False
2009-10-01,0,24,0,31,1,False
2009-11-01,0,24,0,29,1,False
2009-12-01,3,18,0,23,1,False
2010-01-01,4,27,0,23,0,False
2010-02-01,1,16,0,26,1,False
2010-03-01,1,18,0,26,1,False
2010-04-01,0,20,0,23,1,False
2010-05-01,0,17,0,23,0,False
2010-06-01,0,15,0,26,1,False
2010-07-01,1,16,0,26,1,False
2010-08-01,0,15,0,25,1,False
2010-09-01,0,13,0,30,2,False
2010-10-01,0,16,0,26,1,False
2010-11-01,1,14,0,25,1,False
2010-12-01,0,15,0,26,1,False
2011-01-01,0,16,1,24,1,False
2011-02-01,0,17,0,25,1,False
2011-03-01,0,18,0,29,1,False
2011-04-01,0,20,0,25,1,False
2011-05-01,0,21,0,28,1,False
2011-06-01,0,20,0,28,1,False
2011-07-01,0,16,0,24,1,False
2011-08-01,0,18,0,23,1,False
2011-09-01,0,17,0,21,1,False
2011-10-01,1,16,0,22,1,False
2011-11-01,0,16,0,24,2,False
2011-12-01,0,15,0,20,2,False
2012-01-01,0,16,0,19,1,False
2012-02-01,0,20,0,24,2,False
2012-03-01,0,22,0,25,2,False
2012-04-01,0,20,0,25,2,False
2012-05-01,0,23,0,25,2,False
2012-06-01,0,20,0,27,2,False
2012-07-01,0,19,0,28,2,False
2012-08-01,0,20,0,31,1,False
2012-09-01,0,19,0,34,1,False
2012-10-01,0,21,0,52,1,False
2012-11-01,0,22,0,90,2,False
2012-12-01,0,22,0,93,1,False
2013-01-01,0,19,0,84,2,False
2013-02-01,0,21,0,74,1,False
2013-03-01,0,24,0,80,2,False
2013-04-01,0,29,0,86,2,False
2013-05-01,0,26,0,81,2,False
2013-06-01,0,23,0,79,2,False
2013-07-01,0,24,0,71,2,False
2013-08-01,0,24,0,75,2,False
2013-09-01,0,24,0,71,2,False
2013-10-01,0,25,0,83,2,False
2013-11-01,0,24,0,78,3,False
2013-12-01,0,23,0,89,2,False
2014-01-01,0,25,0,89,3,False
2014-02-01,0,23,0,61,3,False
2014-03-01,0,26,0,31,2,False
2014-04-01,0,29,0,63,2,False
2014-05-01,0,29,0,86,2,False
2014-06-01,0,29,0,92,2,False
2014-07-01,1,24,0,97,3,False
2014-08-01,0,27,0,93,3,False
2014-09-01,0,26,0,90,3,False
2014-10-01,0,25,0,89,3,False
2014-11-01,1,24,0,89,3,False
2014-12-01,3,23,0,90,3,False
2015-01-01,3,23,0,99,3,False
2015-02-01,5,24,0,100,2,False
2015-03-01,4,25,0,94,2,False
2015-04-01,4,27,0,82,3,False
2015-05-01,3,25,0,44,3,False
2015-06-01,4,24,0,44,3,False
2015-07-01,5,24,0,42,3,False
2015-08-01,5,22,0,45,3,False
2015-09-01,5,25,0,43,4,False
2015-10-01,7,25,0,47,3,False
2015-11-01,7,27,0,56,5,False
2015-12-01,11,27,0,63,5,False
2016-01-01,13,20,0,47,4,False
2016-02-01,13,21,0,44,4,False
2016-03-01,24,24,0,44,4,False
2016-04-01,35,24,0,47,3,False
2016-05-01,28,23,0,41,3,False
2016-06-01,28,21,0,41,3,False
2016-07-01,31,17,0,54,3,False
2016-08-01,30,19,0,61,3,False
2016-09-01,29,18,0,57,3,False
2016-10-01,31,18,0,55,3,False
2016-11-01,32,19,0,65,3,False
2016-12-01,37,17,0,35,3,False
2017-01-01,38,16,0,30,2,False
2017-02-01,49,16,0,30,1,False
2017-03-01,56,18,0,30,2,False
2017-04-01,54,22,0,31,2,False
2017-05-01,48,22,0,29,3,False
2017-06-01,60,19,0,27,3,False
2017-07-01,63,18,0,26,3,False
2017-08-01,77,19,0,29,4,False
2017-09-01,77,19,0,28,3,False
2017-10-01,92,21,0,31,3,False
2017-11-01,83,21,0,32,3,False
2017-12-01,100,20,0,32,3,False
2018-01-01,76,17,0,23,4,False
2018-02-01,70,20,0,25,3,False
2018-03-01,68,22,0,25,3,False
2018-04-01,71,25,0,26,3,False
2018-05-01,73,23,0,27,6,False
2018-06-01,62,21,0,27,5,False
2018-07-01,61,21,0,25,5,False
2018-08-01,77,23,0,30,6,False
2018-09-01,78,21,0,29,7,False
2018-10-01,65,22,0,27,6,False
2018-11-01,60,22,0,29,5,False
2018-12-01,56,21,0,27,5,False
2019-01-01,61,22,0,26,4,False
2019-02-01,74,22,0,27,5,False
2019-03-01,82,27,0,28,5,False
2019-04-01,78,29,0,28,5,False
2019-05-01,85,30,0,29,5,False
2019-06-01,79,23,0,30,4,False
2019-07-01,67,22,0,26,5,False
2019-08-01,93,23,0,30,7,False
2019-09-01,73,25,0,26,6,False
2019-10-01,73,23,0,27,6,False
2019-11-01,66,22,0,24,5,False
2019-12-01,66,22,0,26,6,False
2020-01-01,59,24,0,23,5,False
2020-02-01,55,22,0,23,4,False
2020-03-01,54,37,0,41,7,False
2020-04-01,49,43,0,39,9,False
2020-05-01,46,35,0,35,10,False
2020-06-01,49,31,0,33,8,False
2020-07-01,52,27,0,33,8,False
2020-08-01,50,30,0,38,10,False
2020-09-01,52,33,0,35,10,False
2020-10-01,52,34,4,31,10,True
