date,El Cronista,Ámbito,isPartial
2004-01-01,29,0,False
2004-02-01,7,0,False
2004-03-01,29,0,False
2004-04-01,26,4,False
2004-05-01,18,3,False
2004-06-01,18,0,False
2004-07-01,37,3,False
2004-08-01,20,8,False
2004-09-01,23,3,False
2004-10-01,22,3,False
2004-11-01,31,0,False
2004-12-01,16,3,False
2005-01-01,16,0,False
2005-02-01,10,3,False
2005-03-01,9,0,False
2005-04-01,16,4,False
2005-05-01,17,0,False
2005-06-01,19,0,False
2005-07-01,29,5,False
2005-08-01,22,2,False
2005-09-01,15,2,False
2005-10-01,24,3,False
2005-11-01,19,2,False
2005-12-01,9,4,False
2006-01-01,9,2,False
2006-02-01,15,2,False
2006-03-01,18,2,False
2006-04-01,16,2,False
2006-05-01,21,3,False
2006-06-01,13,1,False
2006-07-01,11,3,False
2006-08-01,10,1,False
2006-09-01,18,1,False
2006-10-01,20,2,False
2006-11-01,17,2,False
2006-12-01,10,1,False
2007-01-01,15,0,False
2007-02-01,19,2,False
2007-03-01,17,2,False
2007-04-01,15,1,False
2007-05-01,13,2,False
2007-06-01,17,1,False
2007-07-01,15,2,False
2007-08-01,22,2,False
2007-09-01,18,2,False
2007-10-01,22,1,False
2007-11-01,23,1,False
2007-12-01,19,1,False
2008-01-01,21,2,False
2008-02-01,22,1,False
2008-03-01,29,1,False
2008-04-01,37,2,False
2008-05-01,43,3,False
2008-06-01,47,2,False
2008-07-01,43,1,False
2008-08-01,38,1,False
2008-09-01,49,2,False
2008-10-01,68,4,False
2008-11-01,55,2,False
2008-12-01,47,2,False
2009-01-01,41,1,False
2009-02-01,40,1,False
2009-03-01,51,1,False
2009-04-01,37,2,False
2009-05-01,33,1,False
2009-06-01,37,1,False
2009-07-01,40,1,False
2009-08-01,33,1,False
2009-09-01,31,2,False
2009-10-01,25,1,False
2009-11-01,31,1,False
2009-12-01,27,1,False
2010-01-01,35,1,False
2010-02-01,34,1,False
2010-03-01,31,0,False
2010-04-01,31,1,False
2010-05-01,36,0,False
2010-06-01,29,1,False
2010-07-01,29,0,False
2010-08-01,29,1,False
2010-09-01,33,1,False
2010-10-01,37,1,False
2010-11-01,35,1,False
2010-12-01,31,1,False
2011-01-01,27,1,False
2011-02-01,25,1,False
2011-03-01,21,1,False
2011-04-01,20,2,False
2011-05-01,24,1,False
2011-06-01,21,1,False
2011-07-01,23,1,False
2011-08-01,25,2,False
2011-09-01,24,2,False
2011-10-01,29,2,False
2011-11-01,34,2,False
2011-12-01,30,2,False
2012-01-01,26,1,False
2012-02-01,27,2,False
2012-03-01,27,1,False
2012-04-01,33,2,False
2012-05-01,41,2,False
2012-06-01,48,2,False
2012-07-01,37,2,False
2012-08-01,36,1,False
2012-09-01,37,2,False
2012-10-01,41,2,False
2012-11-01,42,2,False
2012-12-01,37,1,False
2013-01-01,42,2,False
2013-02-01,36,1,False
2013-03-01,46,2,False
2013-04-01,43,2,False
2013-05-01,50,2,False
2013-06-01,34,2,False
2013-07-01,33,2,False
2013-08-01,37,2,False
2013-09-01,37,2,False
2013-10-01,37,2,False
2013-11-01,43,3,False
2013-12-01,40,2,False
2014-01-01,63,4,False
2014-02-01,48,3,False
2014-03-01,37,2,False
2014-04-01,34,2,False
2014-05-01,42,2,False
2014-06-01,48,3,False
2014-07-01,51,3,False
2014-08-01,55,3,False
2014-09-01,56,4,False
2014-10-01,57,4,False
2014-11-01,45,3,False
2014-12-01,44,3,False
2015-01-01,48,3,False
2015-02-01,46,3,False
2015-03-01,44,3,False
2015-04-01,42,3,False
2015-05-01,35,3,False
2015-06-01,41,3,False
2015-07-01,50,3,False
2015-08-01,46,3,False
2015-09-01,49,4,False
2015-10-01,50,4,False
2015-11-01,59,5,False
2015-12-01,70,6,False
2016-01-01,40,4,False
2016-02-01,39,4,False
2016-03-01,40,4,False
2016-04-01,38,3,False
2016-05-01,33,3,False
2016-06-01,37,3,False
2016-07-01,34,3,False
2016-08-01,33,4,False
2016-09-01,30,3,False
2016-10-01,30,3,False
2016-11-01,35,3,False
2016-12-01,42,3,False
2017-01-01,43,2,False
2017-02-01,41,2,False
2017-03-01,39,3,False
2017-04-01,40,3,False
2017-05-01,44,3,False
2017-06-01,48,3,False
2017-07-01,54,3,False
2017-08-01,56,4,False
2017-09-01,50,3,False
2017-10-01,55,3,False
2017-11-01,56,3,False
2017-12-01,62,4,False
2018-01-01,68,4,False
2018-02-01,62,4,False
2018-03-01,55,3,False
2018-04-01,52,4,False
2018-05-01,97,7,False
2018-06-01,83,6,False
2018-07-01,66,5,False
2018-08-01,86,6,False
2018-09-01,100,8,False
2018-10-01,74,7,False
2018-11-01,65,6,False
2018-12-01,62,5,False
2019-01-01,62,3,False
2019-02-01,63,5,False
2019-03-01,69,6,False
2019-04-01,73,6,False
2019-05-01,65,6,False
2019-06-01,54,4,False
2019-07-01,54,5,False
2019-08-01,98,8,False
2019-09-01,83,6,False
2019-10-01,76,6,False
2019-11-01,61,6,False
2019-12-01,78,7,False
2020-01-01,63,5,False
2020-02-01,59,4,False
2020-03-01,62,7,False
2020-04-01,58,11,False
2020-05-01,61,10,False
2020-06-01,58,8,False
2020-07-01,62,9,False
2020-08-01,63,11,False
2020-09-01,74,11,False
2020-10-01,95,11,True
