date,Infobae,Clarín,Crónica,El Cohete a la Luna,Ámbito,isPartial,date,El Destape,El Territorio,IP Noticias,La Nación,Ámbito,isPartial,date,La Voz del Interior,Perfil,Página/12,TN,Ámbito,isPartial,date,El Cronista,Ámbito,isPartial
2004-01-01,8,2,0,0,0,False,2004-01-01,5,11,0,44,0,False,2004-01-01,13,4,0,11,0,False,2004-01-01,29,0,False
2004-02-01,8,2,2,0,0,False,2004-02-01,0,20,0,66,0,False,2004-02-01,17,4,0,11,0,False,2004-02-01,7,0,False
2004-03-01,8,2,1,0,0,False,2004-03-01,5,24,0,78,0,False,2004-03-01,17,5,0,10,0,False,2004-03-01,29,0,False
2004-04-01,9,2,1,0,0,False,2004-04-01,0,13,0,70,4,False,2004-04-01,13,6,1,12,1,False,2004-04-01,26,4,False
2004-05-01,11,2,0,0,0,False,2004-05-01,0,19,0,55,3,False,2004-05-01,12,6,0,16,0,False,2004-05-01,18,3,False
2004-06-01,12,2,1,0,0,False,2004-06-01,0,20,0,78,0,False,2004-06-01,11,7,1,14,0,False,2004-06-01,18,0,False
2004-07-01,13,2,1,0,0,False,2004-07-01,0,6,0,61,3,False,2004-07-01,18,4,1,10,0,False,2004-07-01,37,3,False
2004-08-01,14,3,0,0,0,False,2004-08-01,0,7,0,61,6,False,2004-08-01,10,6,0,18,1,False,2004-08-01,20,8,False
2004-09-01,13,2,1,0,0,False,2004-09-01,0,17,0,75,2,False,2004-09-01,15,6,0,10,0,False,2004-09-01,23,3,False
2004-10-01,14,3,1,0,0,False,2004-10-01,0,19,0,73,2,False,2004-10-01,13,5,0,11,0,False,2004-10-01,22,3,False
2004-11-01,15,2,1,0,0,False,2004-11-01,0,15,0,59,2,False,2004-11-01,16,5,0,12,0,False,2004-11-01,31,0,False
2004-12-01,17,2,1,0,0,False,2004-12-01,2,25,2,64,2,False,2004-12-01,15,5,0,15,0,False,2004-12-01,16,3,False
2005-01-01,18,2,1,0,0,False,2005-01-01,0,22,0,49,0,False,2005-01-01,16,4,0,16,0,False,2005-01-01,16,0,False
2005-02-01,19,2,1,0,0,False,2005-02-01,2,27,0,64,2,False,2005-02-01,18,5,0,19,0,False,2005-02-01,10,3,False
2005-03-01,17,3,0,0,0,False,2005-03-01,2,21,0,72,0,False,2005-03-01,16,6,0,12,0,False,2005-03-01,9,0,False
2005-04-01,21,2,1,0,0,False,2005-04-01,0,24,0,77,3,False,2005-04-01,21,6,0,23,0,False,2005-04-01,16,4,False
2005-05-01,17,3,0,0,0,False,2005-05-01,0,19,0,71,0,False,2005-05-01,17,6,0,12,0,False,2005-05-01,17,0,False
2005-06-01,21,3,0,0,0,False,2005-06-01,0,20,0,72,0,False,2005-06-01,21,6,0,13,0,False,2005-06-01,19,0,False
2005-07-01,21,2,1,0,0,False,2005-07-01,2,16,0,62,5,False,2005-07-01,19,4,0,12,1,False,2005-07-01,29,5,False
